Date,Zone_ID,Estimated_Usage_Liters,No_of_Connections,Avg_LPCD
2024-01-01,Z0017,27163,252,107.79
2024-01-01,Z0050,17042,164,103.92
2024-01-01,Z0060,11791,170,69.36
2024-01-01,Z0076,19611,224,87.55
2024-01-01,Z0003,25554,266,96.07
2024-01-01,Z0109,17147,280,61.24
2024-01-01,Z0001,15601,151,103.32
2024-01-01,Z0011,11229,187,60.05
2024-01-01,Z0108,16498,170,97.05
2024-01-01,Z0043,18938,207,91.49
2024-01-01,Z0026,18437,238,77.47
2024-01-01,Z0093,17469,208,83.99
2024-01-01,Z0024,14327,164,87.36
2024-01-01,Z0019,16590,200,82.95
2024-01-01,Z0088,18746,213,88.01
2024-01-01,Z0077,20164,200,100.82
2024-01-01,Z0040,14185,222,63.9
2024-01-01,Z0107,32744,281,116.53
2024-01-01,Z0008,17685,163,108.5
2024-01-01,Z0009,9631,158,60.96
2024-01-01,Z0111,28192,279,101.05
2024-01-01,Z0103,26260,260,101.0
2024-01-01,Z0061,9743,157,62.06
2024-01-01,Z0028,17371,230,75.53
2024-01-01,Z0029,26645,253,105.32
2024-01-01,Z0037,20511,283,72.48
2024-01-01,Z0074,10876,153,71.09
2024-01-01,Z0051,31420,295,106.51
2024-01-01,Z0098,16893,163,103.64
2024-01-01,Z0073,10710,164,65.31
2024-01-01,Z0083,20916,189,110.67
2024-01-01,Z0053,21339,231,92.38
2024-01-01,Z0104,14083,173,81.41
2024-01-01,Z0045,20900,273,76.56
2024-01-01,Z0105,11466,164,69.92
2024-01-01,Z0089,28371,238,119.21
2024-01-01,Z0069,19834,237,83.69
2024-01-01,Z0002,17194,285,60.33
2024-01-01,Z0046,20715,288,71.93
2024-01-01,Z0034,29565,285,103.74
2024-01-01,Z0025,17537,182,96.36
2024-01-01,Z0100,21831,190,114.9
2024-01-01,Z0091,19220,221,86.97
2024-01-01,Z0006,11613,182,63.81
2024-01-01,Z0062,16776,211,79.51
2024-01-01,Z0092,23679,248,95.48
2024-01-01,Z0059,16252,184,88.33
2024-01-01,Z0110,29575,250,118.3
2024-01-01,Z0068,29582,280,105.65
2024-01-01,Z0101,26082,291,89.63
2024-01-01,Z0018,29355,286,102.64
2024-01-01,Z0070,14705,239,61.53
2024-01-01,Z0065,24115,212,113.75
2024-01-01,Z0058,18853,201,93.8
2024-01-01,Z0067,32160,281,114.45
2024-01-01,Z0048,30756,292,105.33
2024-01-01,Z0031,21565,185,116.57
2024-01-01,Z0086,17025,220,77.39
2024-01-01,Z0052,26515,235,112.83
2024-01-01,Z0030,15081,194,77.74
2024-01-01,Z0080,24731,283,87.39
2024-01-01,Z0084,18295,257,71.19
2024-01-01,Z0032,20227,179,113.0
2024-01-01,Z0078,30040,277,108.45
2024-01-01,Z0005,19612,241,81.38
2024-01-01,Z0007,20483,278,73.68
2024-01-01,Z0012,29451,270,109.08
2024-01-01,Z0021,9183,152,60.42
2024-01-01,Z0039,25479,286,89.09
2024-01-01,Z0054,15232,200,76.16
