Date,Zone_ID,Intake_Water_Liters,Treated_Water_Liters,Supplied_Water_Liters,Estimated_Usage_Liters,No_of_Connections,Avg_LPCD,Leakage_Liters,Leakage_Percent
2024-01-01,Z0017,105795,103935,96545,27163,252,107.79,69382,71.86
2024-01-01,Z0050,101284,98646,96180,17042,164,103.92,79138,82.28
2024-01-01,Z0060,127194,124712,119268,11791,170,69.36,107477,90.11
2024-01-01,Z0076,106023,104893,101208,19611,224,87.55,81597,80.62
2024-01-01,Z0003,90769,87378,79767,25554,266,96.07,54213,67.96
2024-01-01,Z0109,92433,90218,83167,17147,280,61.24,66020,79.38
2024-01-01,Z0001,129188,127004,120449,15601,151,103.32,104848,87.05
2024-01-01,Z0011,109769,108748,101905,11229,187,60.05,90676,88.98
2024-01-01,Z0108,117480,112848,110374,16498,170,97.05,93876,85.05
2024-01-01,Z0043,115658,112100,108053,18938,207,91.49,89115,82.47
2024-01-01,Z0026,92747,90772,86966,18437,238,77.47,68529,78.8
2024-01-01,Z0093,90189,86184,81450,17469,208,83.99,63981,78.55
2024-01-01,Z0024,125773,124211,120312,14327,164,87.36,105985,88.09
2024-01-01,Z0019,91267,87388,83860,16590,200,82.95,67270,80.22
2024-01-01,Z0088,101394,96838,90948,18746,213,88.01,72202,79.39
2024-01-01,Z0077,120740,116852,109459,20164,200,100.82,89295,81.58
2024-01-01,Z0040,100627,99027,94664,14185,222,63.9,80479,85.02
2024-01-01,Z0107,98433,95392,90568,32744,281,116.53,57824,63.85
2024-01-01,Z0008,113897,110285,106922,17685,163,108.5,89237,83.46
2024-01-01,Z0009,113483,111005,106449,9631,158,60.96,96818,90.95
2024-01-01,Z0111,107159,106125,100973,28192,279,101.05,72781,72.08
2024-01-01,Z0103,116531,113946,108003,26260,260,101.0,81743,75.69
2024-01-01,Z0061,113939,109866,106845,9743,157,62.06,97102,90.88
2024-01-01,Z0028,101653,98040,90815,17371,230,75.53,73444,80.87
2024-01-01,Z0029,99692,97990,90315,26645,253,105.32,63670,70.5
2024-01-01,Z0037,90161,88960,84979,20511,283,72.48,64468,75.86
2024-01-01,Z0074,123763,120446,113535,10876,153,71.09,102659,90.42
2024-01-01,Z0051,101534,100079,94281,31420,295,106.51,62861,66.67
2024-01-01,Z0098,115851,113835,111498,16893,163,103.64,94605,84.85
2024-01-01,Z0073,107262,105186,98299,10710,164,65.31,87589,89.1
2024-01-01,Z0083,102185,98921,92062,20916,189,110.67,71146,77.28
2024-01-01,Z0053,129099,127720,125228,21339,231,92.38,103889,82.96
