Date,Zone_ID,Intake_Water_Liters,Treated_Water_Liters,Supplied_Water_Liters
2024-01-01,Z0017,105795,103935,96545
2024-01-01,Z0050,101284,98646,96180
2024-01-01,Z0060,127194,124712,119268
2024-01-01,Z0076,106023,104893,101208
2024-01-01,Z0003,90769,87378,79767
2024-01-01,Z0109,92433,90218,83167
2024-01-01,Z0001,129188,127004,120449
2024-01-01,Z0011,109769,108748,101905
2024-01-01,Z0108,117480,112848,110374
2024-01-01,Z0043,115658,112100,108053
2024-01-01,Z0026,92747,90772,86966
2024-01-01,Z0093,90189,86184,81450
2024-01-01,Z0024,125773,124211,120312
2024-01-01,Z0019,91267,87388,83860
2024-01-01,Z0088,101394,96838,90948
2024-01-01,Z0077,120740,116852,109459
2024-01-01,Z0040,100627,99027,94664
2024-01-01,Z0107,98433,95392,90568
2024-01-01,Z0008,113897,110285,106922
2024-01-01,Z0009,113483,111005,106449
2024-01-01,Z0111,107159,106125,100973
2024-01-01,Z0103,116531,113946,108003
2024-01-01,Z0061,113939,109866,106845
2024-01-01,Z0028,101653,98040,90815
2024-01-01,Z0029,99692,97990,90315
2024-01-01,Z0037,90161,88960,84979
2024-01-01,Z0074,123763,120446,113535
2024-01-01,Z0051,101534,100079,94281
2024-01-01,Z0098,115851,113835,111498
2024-01-01,Z0073,107262,105186,98299
2024-01-01,Z0083,102185,98921,92062
2024-01-01,Z0053,129099,127720,125228
2024-01-01,Z0104,129976,127796,123734
2024-01-01,Z0045,92568,90201,82953
2024-01-01,Z0105,92027,88332,84837
2024-01-01,Z0089,95258,92736,90345
2024-01-01,Z0069,103986,102568,96094
2024-01-01,Z0002,128660,124099,119821
2024-01-01,Z0046,128952,124853,122653
2024-01-01,Z0034,120535,118756,113652
2024-01-01,Z0025,113599,112097,107643
2024-01-01,Z0100,101837,99086,96282
2024-01-01,Z0091,120818,117087,109096
2024-01-01,Z0006,100965,98395,91339
2024-01-01,Z0062,122482,118822,111241
2024-01-01,Z0092,117266,112426,109398
2024-01-01,Z0059,123270,119456,112963
2024-01-01,Z0110,115446,111604,105116
2024-01-01,Z0068,90206,88168,80191
2024-01-01,Z0101,113419,110935,108072
2024-01-01,Z0018,112403,109646,105968
2024-01-01,Z0070,123827,120255,112976
2024-01-01,Z0065,106198,103476,98162
2024-01-01,Z0058,112299,108674,103945
2024-01-01,Z0067,92693,90898,83751
2024-01-01,Z0048,93627,91264,87283
2024-01-01,Z0031,111834,109171,105642
2024-01-01,Z0086,100230,95811,88219
2024-01-01,Z0052,113776,111368,103872
2024-01-01,Z0030,91306,87626,82951
2024-01-01,Z0080,99474,95044,92335
2024-01-01,Z0084,111959,109525,102781
2024-01-01,Z0032,93748,89452,82099
2024-01-01,Z0078,90663,87665,82220
2024-01-01,Z0005,120303,117808,112504
2024-01-01,Z0007,129353,127790,124499
2024-01-01,Z0012,113938,109754,106118
2024-01-01,Z0021,110080,106081,100929
2024-01-01,Z0039,116736,115735,108998
2024-01-01,Z0054,90854,88095,82621
2024-01-01,Z0047,111556,108849,104072
2024-01-01,Z0016,128559,125826,118291
2024-01-01,Z0014,94931,90421,88219
2024-01-01,Z0004,102688,100922,94533
2024-01-01,Z0015,92327,87419,82488
2024-01-01,Z0106,90197,86168,82238
2024-01-01,Z0056,105087,101896,99288
2024-01-01,Z0102,117848,115701,109419
2024-01-01,Z0013,105708,102914,100255
2024-01-01,Z0010,92811,88809,85440
2024-01-01,Z0094,124754,122220,120074
2024-01-01,Z0044,101411,97500,93766
2024-01-01,Z0066,108227,106739,101763
2024-01-01,Z0097,108343,105680,101295
2024-01-01,Z0087,101111,99471,95669
2024-01-01,Z0071,98155,94635,87101
2024-01-01,Z0112,110445,106076,98346
2024-01-01,Z0038,106646,103859,101236
2024-01-01,Z0085,106371,101728,94752
2024-01-01,Z0035,92049,88105,80682
2024-01-01,Z0090,110932,106824,99545
2024-01-01,Z0063,97158,94102,88932
2024-01-01,Z0095,105151,101896,98742
2024-01-01,Z0027,94499,91300,86109
2024-01-01,Z0023,102183,100556,93874
2024-01-01,Z0022,122711,120268,116823
2024-01-01,Z0096,92557,90061,87963
2024-01-01,Z0036,92200,89316,84355
2024-01-01,Z0041,111357,110020,104243
2024-01-01,Z0081,92869,88635,82844
2024-01-01,Z0082,118643,117483,109784
2024-01-01,Z0079,113328,111931,108631
2024-01-01,Z0033,111295,106308,102781
2024-01-01,Z0020,112399,109984,102730
2024-01-01,Z0064,123986,122586,115851
2024-01-01,Z0099,94555,92601,86036
2024-01-01,Z0075,109830,107785,104092
2024-01-01,Z0042,104373,101096,95660
2024-01-01,Z0057,98754,95269,87374
2024-01-01,Z0055,109738,106664,104439
2024-01-01,Z0049,122352,119021,116062
2024-01-01,Z0072,95600,94148,89081
2024-01-02,Z0017,99007,97349,90707
2024-01-02,Z0050,98208,93965,90722
2024-01-02,Z0060,108589,105065,101996
2024-01-02,Z0076,126212,122647,114783
2024-01-02,Z0003,123828,120501,115081
2024-01-02,Z0109,121216,119915,113639
2024-01-02,Z0001,90699,88707,85568
2024-01-02,Z0011,90190,86890,83910
2024-01-02,Z0108,125743,122737,119553
2024-01-02,Z0043,109778,108651,104586
2024-01-02,Z0026,124584,121826,119257
2024-01-02,Z0093,128210,125315,120582
2024-01-02,Z0024,126631,125006,118992
2024-01-02,Z0019,101093,98407,93398
2024-01-02,Z0088,106538,103001,99592
2024-01-02,Z0077,90784,86609,80268
2024-01-02,Z0040,129974,127474,119673
2024-01-02,Z0107,109190,107653,99667
2024-01-02,Z0008,119592,116137,113613
2024-01-02,Z0009,113355,110826,105876
2024-01-02,Z0111,114376,113341,106561
2024-01-02,Z0103,92368,87521,81026
2024-01-02,Z0061,100893,98922,95756
2024-01-02,Z0028,103403,98978,92049
2024-01-02,Z0029,100966,97984,95131
2024-01-02,Z0037,118312,113543,110969
2024-01-02,Z0074,112677,109316,105601
2024-01-02,Z0051,94777,92940,87086
2024-01-02,Z0098,119749,115699,111208
2024-01-02,Z0073,117236,113196,108072
2024-01-02,Z0083,93051,88360,86356
2024-01-02,Z0053,111606,109387,102518
2024-01-02,Z0104,90876,88885,82743
2024-01-02,Z0045,105202,101332,94968
2024-01-02,Z0105,127233,125598,118373
2024-01-02,Z0089,108077,105395,98643
2024-01-02,Z0069,98311,96481,88575
